authors,title,series,tags,pubdate,publisher,isbn,identifiers
"G. D. Kilpatrick","The Eucharist in Bible and Liturgy","","Bible, Communion, Eucharist, Jesus Christ, Liturgy, New Testament (NT), Theology","1984-03-30T00:00:00+11:00","Cambridge University Press","9780521246750","goodreads:4960521,isbn:9780521246750,amazon:052124675X"
"Larry L. Lyke","King David With the Wise Woman of Tekoa: The Resonance of Tradition in Parabolic Narrative","","Bible, Old Testament (OT)","1995-03-01T19:00:00+11:00","Bloomsbury T&T Clark","9781850758266","amazon:1850758263,isbn:9781850758266,goodreads:511116"
"Mark Norris Lance","The Grammar of Meaning: Normativity and Semantic Discourse","","Bible, Linguistics","1998-01-13T00:00:00+11:00","Cambridge University Press","9780521583008","amazon:0521583004,isbn:9780521583008"
"Johannes P. Louw","Semantics of New Testaments Greek","","Bible, Linguistics, New Testament (NT)","1982-01-01T00:30:00+11:00","Society of Biblical Literature","9780891306931","goodreads:2103809,isbn:9780891306931"
"Eugene Albert Nida & Johannes P. Louw","Lexical Semantics of the Greek New Testament","","Bible, Linguistics, New Testament (NT)","1992-01-01T00:30:00+11:00","Society of Biblical Literature","9781555405786","goodreads:1355857,isbn:9781555405786"
"Francis Brown & Samuel Rolles Driver & Charles Augustus Briggs & Wilhelm Gesenius & Edward Robinson","The Brown-Driver-Briggs Hebrew and English Lexicon","","Bible, Biblical Reference, Language Study, Lexicon, Old Testament (OT)","1994-09-02T11:00:00+11:00","Hendrickson Academic","9781565632066","goodreads:54012946,isbn:9781565632066,google:8ptwEAAAQBAJ,amazon:1565632060"
"John H. Eaton","Psalms of the Way and the Kingdom  A Conference With the Commentators","","Theology, Bible","1995-09-01T01:30:00+11:00","Sheffield Academic Press","9781850755524","goodreads:5137828,isbn:9781850755524,amazon:1850755523"
"Clay Alan Ham","The Coming King and the Rejected Shepherd  Matthew's Reading of Zechariah's Messianic Hope","","Theology, Bible, New Testament (NT), Gospel of Matthew, Gospel","2005-04-06T11:00:00+11:00","Sheffield Phoenix Press Ltd","9781905048700","goodreads:1525662,isbn:9781905048700"
"Kenneth D. Mulzac","The Remnant Motif in the Context of Judgment and Salvation in the Book of Jeremiah","","Bible, Old Testament (OT), Jeremiah, Theology","2017-09-07T06:41:18+11:00","","",""
"Ingrid Hjelm","The Samaritans and Early Judaism: A Literary Analysis","","Bible, Textual Criticism","2000-01-01T19:00:00+11:00","Bloomsbury T&T Clark","9781841270722","goodreads:5351673,isbn:9781841270722,amazon:1841270725"
"Wendy L. Widder","To Teach in Ancient Israel","","Bible, Ancient Israel, Linguistics, Biblical Hebrew, Lexicography","2014-07-15T14:01:45+11:00","de Gruyter","9783110335491","amazon:3110335492,google:6pbpngEACAAJ,isbn:9783110335491"
"Richard Bauckham","The Jewish World Around the New Testament: Collected Essays I","","Bible, New Testament (NT), Paul, Epistle","2008-12-10T19:00:00+11:00","Mohr Siebeck","9783161496141","goodreads:10004851,isbn:9783161496141,amazon:3161496140"
"Noam Sachs Zion","Sanctified Sex: The Two-Thousand-Year Jewish Debate on Marital Intimacy","","Bible","0101-01-01T11:00:00+11:00","The Jewish Publication Society","9780827614666","amazon:0827614667,goodreads:55761700,isbn:9780827614666"
"William Foxwell Albright","The Names Shaddai and Abram","","Bible, Old Testament (OT), Theology, old testament theology","1935-11-15T15:57:41+11:00","Society of Biblical Literature and Exegesis","","google:2h7PzgEACAAJ"
"Gordon Mitchell","Together in the Land: A Reading of the Book of Joshua","","Bible, Johsua, Old Testament (OT), old testament theology, Promised Land, Theology","1993-01-01T14:58:32+11:00","UNKNO","9781850754091","isbn:9781850754091,goodreads:6271087,google:BHutAwAAQBAJ,amazon:1850754098"
"Graham A. Cole","The God Who Became Human: A Biblical Theology of Incarnation","New Studies in Biblical Theology","Old Testament (OT), Bible, New Testament (NT), Theology","2013-08-05T18:00:00+11:00","IVP Academic","9780830895557","isbn:9780830895557,amazon:B09SD4QLR3,goodreads:73984133"
"Darrell L. Bock","Jesus according to Scripture","","Bible, New Testament Theology, New Testament (NT), Theology, Gospel","2016-12-24T00:00:00+11:00","Baker Publishing Group","9781493400416","isbn:9781493400416"
"Jack R. Lundbom","Jeremiah Closer Up The Prophet and the Book","","Bible, Theology, Septuagint (LXX), Old Testament (OT), Jeremiah, Psalms, Wisdom Literature, old testament theology","2010-09-16T18:00:00+11:00","Sheffield Phoenix Press Ltd","9781907534072","isbn:9781907534072,amazon:1907534075,goodreads:9691603"
"Timothy Polk","The Prophetic Persona: Jeremiah and the Language of the Self","","Theology, Bible, Old Testament (OT), Jeremiah","1984-06-15T01:00:00+11:00","JSOT Press","9780905774701","goodreads:15336370,amazon:0905774701,google:MuLYAAAAMAAJ,isbn:9780905774701"
"Hans Barstad","Prophecy in the Book of Jeremiah","","Theology, Bible, Old Testament (OT), Jeremiah","2009-09-01T18:00:00+11:00","Walter de Gruyter","9783110205060","isbn:9783110205060,amazon:3110205068,goodreads:5732982"
"John Day","In Search of Pre-Exilic Israel: Proceedings of the Oxford Old Testament Seminar","","Old Testament (OT), Bible, Psalms, Wisdom Literature, Theology, old testament theology, Archaeology, Ancient Near East, ANE","2004-06-15T14:56:30+11:00","T. & T. Clark Publishers","9780567081964","isbn:9780567081964,goodreads:3909611,amazon:0567081966,google:uIttAAAAMAAJ"
"John Lierman","The New Testament Moses  Christian Perceptions of Moses and Israel in the Setting of Jewish Religion","","New Testament (NT), Reception History, Bible","2004-06-30T11:00:00+11:00","Mohr Siebeck","9783161482021","isbn:9783161482021,goodreads:2874470"
"Brad E. Kelle, Megan Bishop Moore","Israel's Prophets and Israel's Past: Essays on the Relationship of Prophetic Texts and Israelite History in Honor of John H. Hayes","","Archaeology, Bible, Theology, Prophecy, Old Testament (OT)","1990-05-01T18:00:00+11:00","T&t Clark Int'l","9780567122070","amazon:0567122077,goodreads:17297429,isbn:9780567122070"
"Ronald L. Troxel","LXX-Isaiah as Translation and Interpretation The Strategies of the Translator of the Septuagint of Isaiah","","Septuagint (LXX), Textual Criticism, Bible, Old Testament (OT), Isaiah","2007-11-26T11:00:00+11:00","Brill Academic Publishers","9789004153943","amazon:9004153942,isbn:9789004153943,goodreads:5046578"
"Roy F. Melugin","New Visions of Isaiah","","Bible, Theology, Old Testament (OT), Isaiah","1996-01-01T00:30:00+11:00","Sheffield Academic Press","9780567063205","amazon:0567063208,goodreads:16061808,isbn:9780567063205"
"Bo H. Lim","Way of the Lord in the Book of Isaiah","","Old Testament (OT), Bible, Theology, Isaiah","2010-01-01T19:00:00+11:00","T & T Clark International USA","9781283271059","isbn:9781283271059,amazon:1283271052,goodreads:16982942"
"Karen H. Jobes & Moisés Silva","Invitation to the Septuagint","","Language, Bible, Septuagint (LXX), Koine Greek","2000-11-01T11:00:00+11:00","Baker Academic","9780801022357","goodreads:2941137,isbn:9780801022357,amazon:0801022355"
"Sarah Nicholson","Three Faces of Saul  An Intertextual Approach to Biblical Tragedy","","Theology, Bible","2002-04-30T18:00:00+11:00","Bloomsbury T&T Clark","9781841272481","amazon:1841272485,isbn:9781841272481,goodreads:1204514"
"Raymond E. Brown","The Birth of the Messiah A Commentary on the Infancy Narratives in the Gospels of Matthew and Luke","","Bible, Theology, New Testament (NT), Gospel of Matthew, New Testament commentary, Gospel","1977-01-01T19:00:00+11:00","Anchor Bible","9780385494472","isbn:9780385494472,goodreads:621419,amazon:0385494475"
"Richard Lints","Identity and Idolatry  The Image of God and Its Inversion","New Studies in Biblical Theology","Bible, Old Testament (OT), Idolatry, Theology","2015-05-03T11:00:00+11:00","IVP Academic","9780830826360","isbn:9780830826360,goodreads:23055103"
"Henry St. John Thackeray","The British Academy  The Septuagint and Jewish Worship; A Study in Origins","","Bible, Septuagint (LXX)","2015-09-27T01:30:00+11:00","Forgotten Books","9781330356517","isbn:9781330356517,goodreads:26926895"
"Roger Norman Whybray","Reading the Psalms as a Book","","Theology, Bible","1996-03-07T19:00:00+11:00","Sheffield Academic Press","9781850756224","isbn:9781850756224,amazon:1850756228,goodreads:4143649"
"Jan Joosten","People and Land in the Holiness Code  An Exegetical Study of the Ideational Framework of the Law in Leviticus 17 26","","Bible, Leviticus, Old Testament (OT), Torah, Exegesis","1996-12-01T19:00:00+11:00","Brill Academic Publishers","9789004105577","amazon:9004105573,isbn:9789004105577,goodreads:3987461"
"Natalio Fernández Marcos","The Septuagint in Context: Introduction to the Greek Version of the Bible","","Bible, Exegesis, Hermeneutics, New Testament (NT), Old Testament (OT), Septuagint (LXX), Textual Criticism, Koine Greek","2000-01-01T16:07:47+11:00","BRILL","9789004115743","isbn:9789004115743,goodreads:1202029,google:8MbvEZ4bgdwC"
"N. T. Wright","The Day the Revolution Began  Reconsidering the Meaning of Jesus's Crucifixion","","Bible, New Testament (NT), Exegesis","2016-10-11T18:00:00+11:00","HarperOne","9780062334404","amazon:B01ARKFWSC,goodreads:29587429,isbn:9780062334404"
"Joel S. Baden","The Composition of the Pentateuch  Renewing the Documentary Hypothesis","","Bible","2012-01-01T00:30:00+11:00","Yale University Press","9780300152630","amazon:0300152639,isbn:9780300152630,goodreads:13435168"
"E. Randolph Richards","Misreading Scripture With Western Eyes  Removing Cultural Blinders to Better Understand the Bible","","Bible","2012-07-31T18:00:00+11:00","IVP Academic","9780830863471","mobi-asin:B00BL3JXYE,amazon:B00BL3JXYE,isbn:9780830863471,goodreads:19094149"
"John H. Walton","The Lost World of Adam and Eve  Genesis 2-3 and the Human Origins Debate","The Lost World Series","Bible, Old Testament (OT), Genesis, Eden, Theology","2010-04-01T18:00:00+11:00","IVP Academic","9780830897711","isbn:9780830897711,amazon:B09SNCYXH2,goodreads:73139280"
"John Barton","The Biblical World","","Bible, New Testament (NT), Archaeology, Paul, Epistle","2002-01-01T19:00:00+11:00","Routledge","9780415161053","goodreads:10414265,isbn:9780415161053,amazon:0415161053"
"Andrew C. Gow","The Contested History of a Book: The German Bible of the Later Middle Ages and Reformation in Legend, Ideology, and Scholarship","","Bible","2019-01-02T17:42:42+11:00","Gorgias Press","9781463201265","amazon:1463201265,isbn:9781463201265,goodreads:42058195,google:w553tgAACAAJ"
"David F. Ford","The Modern Theologians  An Introduction to Christian Theology Since 1918","","Bible, Theology","2005-07-15T11:00:00+11:00","Wiley-Blackwell","9781405102773","isbn:9781405102773,goodreads:852274"
"Avivah Gottlieb Zornberg","The Beginning of Desire  Reflections on Genesis","","Bible, Old Testament (OT), Theology, Genesis, old testament theology","1995-01-01T19:00:00+11:00","Image","9780385483377","goodreads:682921,isbn:9780385483377,amazon:0385483376"
"N. T. Wright","Paul and the Faithfulness of God  Two Book Set","Christian Origins and the Question of God","Bible, Theology","2013-11-01T18:00:00+11:00","Fortress Press","9781451452341","goodreads:27395890,mobi-asin:B00GP5FO1Y,amazon:B00GP5FO1Y,isbn:9781451452341"
"Timothy Michael Law","When God Spoke Greek: The Septuagint and the Making of the Christian Bible","","Old Testament (OT), Bible, New Testament (NT), Septuagint (LXX)","2013-06-19T18:00:00+11:00","OUP USA","9780199781720","goodreads:17349801,google:YZoeAAAAQBAJ,isbn:9780199781720,amazon:0199781729"
"Eugene H. Merrill","Kingdom of Priests: A History of Old Testament Israel","","Bible, Old Testament (OT), Theology, Priesthood, old testament theology, Biblical History","1987-12-31T19:00:00+11:00","Baker Books","9781441217073","goodreads:19370664,mobi-asin:B00B85IBUC,google:gGLzgbL1w3oC,isbn:9781441217073,amazon:B00B85IBUC"
"Corrine L. Patton","The Whirlwind  Essays on Job, Hermeneutics and Theology in Memory of Jane Morse","","Theology, Bible","2002-02-28T19:00:00+11:00","Sheffield Academic Press","9780567374844","goodreads:16061981,isbn:9780567374844,amazon:056737484X"
"William W. Klein & Craig L. Blomberg & Robert L. Hubbard, Jr.","Introduction to Biblical Interpretation","","Bible","2017-02-02T11:00:00+11:00","Zondervan Academic","9780310524182","isbn:9780310524182"
"Margaret Barker","The Great Angel: A Study of Israel's Second God","","Bible, Old Testament (OT), Theology, New Testament (NT)","1992-01-01T14:55:00+11:00","Westminster John Knox Press","9780664253950","isbn:9780664253950,amazon:0664253954,goodreads:514756,google:y63GE5Tw3KMC"
"George Coulson Workman","The Text of Jeremiah, Or, a Critical Investigation of the Greek and Hebrew: With the Variations in the LXX Retranslated Into the Original and Explained","","Septuagint (LXX), Textual Criticism, Old Testament (OT), Bible, Jeremiah","2014-01-01T19:00:00+11:00","Sagwan Press","9781298942159","goodreads:26754864,amazon:1298942152,isbn:9781298942159"
"Oliver Glanz","Understanding Participant-Reference Shifts in the Book of Jeremiah: A Study of Exegetical Method and Its Consequences for the Interpretation of Referential Incoherence","","Linguistics, Old Testament (OT), Pragmatics, Bible, Jeremiah","2012-11-29T19:00:00+11:00","BRILL","9789004242180","isbn:9789004242180,amazon:900424218X,goodreads:17174674"
"James W. Watts","Psalm and Story  Inset Hymns in Hebrew Narrative","","Theology, Bible","1992-01-01T19:00:00+11:00","Bloomsbury T&T Clark","9780567564108","goodreads:11719054,amazon:056756410X,isbn:9780567564108"
"Alviero Niccacci","The Syntax of the Verb in Classical Hebrew Prose","","Language, Bible","2009-02-01T19:00:00+11:00","Bloomsbury T&T Clark","9780567213723","amazon:0567213722,goodreads:10194505,isbn:9780567213723"
"James M. Hamilton Jr.","With the Clouds of Heaven  The Book of Daniel in Biblical Theology","New Studies in Biblical Theology","Bible, Theology","2014-08-29T11:00:00+11:00","IVP Academic","9780830826339","isbn:9780830826339,goodreads:22102488"
"G. Michael O'Neal","Interpreting Habakkuk as Scripture: An Application of the Canonical Approach of Brevard S. Childs","","Bible, Old Testament (OT), Theology, Minor Prophets, Habakkuk, Canonical Criticism","2006-12-30T19:00:00+11:00","Peter Lang","9780820439976","google:6UhcBfwQX1sC,amazon:0820439975,isbn:9780820439976,goodreads:3335440"
"James D. Purvis","The Fourth Gospel and the Samaritans","","Bible","0101-01-01T11:00:00+11:00","","",""
"Dale C. Allison Jr.","The Sermon on the Mount: Inspiring the Moral Imagination","","Bible, New Testament (NT), Theology, Gospel","1999-05-01T18:00:00+11:00","Herder  Herder","9780824517915","isbn:9780824517915,goodreads:1972029,amazon:0824517911"
"Pawel Rytel-Andrianik","Manna - Bread From Heaven  Jn 6 22-59 in the Light of PS 78 23-25 and Its Interpretation in Early Jewish Sources","","Bible, Reception History, Theology","2017-02-21T23:58:55+11:00","Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften","9783631653616","isbn:9783631653616,goodreads:32903322,amazon:3631653611"
"Bentley Layton & David Brakke & John Collins","The Gnostic Scriptures, Second Edition","","Bible, New Testament (NT), Theology, Gospel","2021-07-06T14:10:00+11:00","Yale University Press","9780300208542","google:p3YnEAAAQBAJ,isbn:9780300208542"
"Yiu-Wing Fung","Victim and Victimizer: Joseph's Interpretation of His Destiny","","Bible, Old Testament (OT)","2000-06-01T18:00:00+11:00","Sheffield Academic Press","9780567430045","isbn:9780567430045,goodreads:16062018,amazon:0567430049"
"T. W. Manson","Teaching of Jesus","","Bible, New Testament (NT), Jesus Christ","1935-01-02T01:00:00+11:00","Cambridge University Press","9780521091992","amazon:0521091993,google:XII6AAAAIAAJ,isbn:9780521091992"
"Caryn A. Reeder","The Samaritan Woman's Story","","New Testament (NT), Bible, Gospel","2021-11-20T19:49:50+11:00","InterVarsity Press","9781514000601","isbn:9781514000601"
"Kelvin Friebel","Jeremiah's and Ezekiel's Sign-Acts  Rhetorical Nonverbal Communication","JSOT Supplement Series","Bible, Jeremiah, Old Testament (OT), Pragmatics, Sign Acts","1999-05-01T01:30:00+11:00","Bloomsbury T&T Clark","9781850759195","goodreads:2157622,isbn:9781850759195"
"James B. Jordan","The Law of the Covenant","","Bible, Theology","1984-12-01T19:00:00+11:00","Institute for Christian Economics","9780930464028","goodreads:1563527,amazon:0930464028,isbn:9780930464028"
"Martin Ravndal Hauge","The Descent From the Mountain  Narrative Patterns in Exodus 19-40","","Theology, Bible","2001-04-01T19:00:00+11:00","Bloomsbury T&T Clark","9781441198488","goodreads:7653489,amazon:1441198482,isbn:9781441198488"
"Christopher R. Seitz","Theology in Conflict: Reactions to the Exile in the Book of Jeremiah","","Bible, Jeremiah, Old Testament (OT), Theology","1989-01-01T19:00:00+11:00","FRG","9783110112238","goodreads:3028220,isbn:9783110112238,google:u0oKAQAAMAAJ,amazon:311011223X"
"Peter Vogt","Interpreting the Pentateuch: An Exegetical Handbook","","Bible, Old Testament (OT), Theology, Pentateuch, Exegesis","2009-11-10T00:00:00+11:00","Kregel Academic","9780825427626","amazon:0825427622,isbn:9780825427626"
"Robert Alter & Frank Kermode","The Literary Guide to the Bible","","Old Testament (OT), Bible, New Testament (NT), Psalms, Wisdom Literature, Theology, old testament theology, Paul, Epistle","1987-01-01T19:00:00+11:00","Harvard University Press","9780674875319","goodreads:398086,amazon:0674875311,google:O4hYlvzWui8C,isbn:9780674875319"
"Michael L. Barre","The Lord Has Saved Me  A Study of the Psalm of Hezekiah, Isaiah 38 9-20","","Theology, Bible, Old Testament (OT), Isaiah, Psalms, Wisdom Literature, old testament theology","2005-01-01T11:00:00+11:00","Catholic Biblical Association of America","9780915170388","isbn:9780915170388,goodreads:3871782"
"Walter Wink","The Bible in Human Transformation","","Bible, Theology","1973-08-01T18:00:00+11:00","Fortress Press (Philadelphia)","9780800610340","isbn:9780800610340,goodreads:121861,amazon:0800610342"
"Dorothy Lee","The Symbolic Narratives of the Fourth Gospel  The Interplay of Form and Meaning","","Bible, New Testament (NT), Gospel","1994-03-01T19:00:00+11:00","Sheffield Academic Press","9780567478788","isbn:9780567478788,goodreads:18311939,amazon:0567478785"
"Linda Day","Three Faces of a Queen: Characterization in the Books of Esther","","Bible, Septuagint (LXX)","1987-03-01T19:00:00+11:00","Sheffield Academic Press","9780567004024","amazon:0567004023,goodreads:16061778,isbn:9780567004024"
"Harold Henry Rowley","Wisdom in Israel and in the Ancient Near East: Presented to Professor Harold Henry Rowley by the Society for Old Testament Study in Association With the Editorial Board of Vetus Testamentum, in Celebration of His 65th Birthday","","Ancient Near East, ANE, Bible, Old Testament (OT), Wisdom Literature, Essays","1955-11-15T15:20:29+11:00","Leiden","","google:XFCpzgEACAAJ"
"Ferdinand Christian Baur","Paul the Apostle of Jesus Christ  His Life and Works, His Epistles and Teachings","","Bible, Jesus Christ, New Testament (NT), Paul, Epistle","2003-11-01T19:00:00+11:00","Hendrickson Publishers","9781565638990","goodreads:652948,isbn:9781565638990,amazon:1565638999"
"Thomas S. Kane","The Oxford Essential Guide to Writing","","Bible","2000-07-10T18:00:00+11:00","Berkley","9780425176405","isbn:9780425176405,amazon:0425176401,goodreads:1009773"
"Cecil Hargreaves","Translator's Freedom: Modern English Bibles and Their Language","","Bible, Theology","1993-11-01T19:00:00+11:00","Sheffield Academic Press","9781850754008","goodreads:3888713,amazon:1850754004,isbn:9781850754008"
"Gordon J. Hamilton","The Origins of the West Semitic Alphabet in Egyptian Scripts","Catholic Biblical Association of America","Linguistics, Bible","2006-06-17T07:40:54+11:00","Catholic Biblical Association of America","9780915170401","isbn:9780915170401,goodreads:8001588,amazon:091517040X"
"Mark Rooker & R. Dennis Cole","The New American Commentary Volume 3A - Leviticus","","Bible","2000-05-01T11:00:00+11:00","Holman Reference","","amazon:B00598BNUE,goodreads:21287888"
"Peter D. Miscall","Isaiah 34-35: A Nightmare/A Dream","","Bible, Theology, Old Testament (OT), Old Testament Commentary, Isaiah","1996-03-01T19:00:00+11:00","Bloomsbury T&T Clark","9781850759874","isbn:9781850759874,goodreads:218800,amazon:1850759871"
"Charles S. Shaw","The Speeches of Micah  A Rhetorical-Historical Analysis","","Theology, Bible","1983-02-01T19:00:00+11:00","Bloomsbury T&T Clark","9781850753629","goodreads:5133205,amazon:1850753628,isbn:9781850753629"
"Jeremy Corley","Intertextual Explorations in Deuterocanonical and Cognate Literature","","Bible, Biblical Hebrew, Septuagint (LXX)","2018-03-15T11:00:00+11:00","de Gruyter","9783110415926","amazon:3110415925,isbn:9783110415926,goodreads:29520543"
"Roger Norman Whybray","The Heavenly Counsellor in Isaiah Xl 13-14: A Study of the Sources of the Theology of Deutero-Isaiah","Society for Old Testament Study Monographs","Old Testament (OT), Bible, Theology, Isaiah","1971-05-02T18:00:00+11:00","Cambridge University Press","9780521096270","google:CkyPOAAACAAJ,amazon:0521096278,isbn:9780521096270,goodreads:7657978"
"John E. Goldingay","Uprooting and Planting  Essays on Jeremiah for Leslie Allen","","Theology, Bible, Old Testament (OT), Jeremiah","2007-01-01T19:00:00+11:00","Bloomsbury T&T Clark","9780567029522","isbn:9780567029522,amazon:0567029522,goodreads:6443102"
"Anssi Voitila & Jutta Jokiranta","Scripture in Transition  Essays on Septuagint, Hebrew Bible, and Dead Sea Scrolls in Honour of Raija Sollamo","(Supplements to the Journal for the study of Judaism 126)","Septuagint (LXX), Bible","2008-04-15T01:30:00+11:00","BRILL","9789047442479","goodreads:16182160,isbn:9789047442479"
"Géza Vermes","The Story of the Scrolls  The Miraculous Discovery and True Significance of the Dead Sea Scrolls","","Textual Criticism, Bible, New Testament (NT), Gospel","2010-02-04T19:00:00+11:00","Penguin Books","9780141046150","goodreads:7770120,amazon:0141046155,isbn:9780141046150"
"David M. Gunn","The Story of King David: Genre and Interpretation","","Bible, Old Testament (OT), Theology, Historical Books, Monarchy, Israelite History, Literary Criticism","1978-01-01T00:00:00+11:00","A&C Black","9780905774053","google:zVutAwAAQBAJ,amazon:0905774051,goodreads:475981,isbn:9780905774053"
"Sara Winter","The OG and TH versions of Daniel","Society of Biblical Literature Septuagint and Cognate Studies 43","Bible, Septuagint (LXX), Textual Criticism","0101-01-01T11:00:00+11:00","","",""
"R. Timothy McLay","The Old Greek Translation of Daniel 4-6 and the Formation of the Book of Daniel","Vetus Testamentum","Septuagint (LXX), Textual Criticism, Bible, Old Testament (OT)","2016-08-11T15:49:44+11:00","","",""
"Adele Berlin","The Jewish Study Bible: Featuring the Jewish Publication Society TANAKH Translation","","Bible","2004-01-04T11:00:00+11:00","Oxford University Press","9780195297515","isbn:9780195297515,amazon:0195297512"
"Umberto Moshe David Cassuto & Israel Abrahams","The Documentary Hypothesis","","Bible, Exegesis, Hermeneutics, Judaism, Old Testament (OT), Documentary Hypothesis","2011-10-18T18:00:00+11:00","","1590458028","amazon:B005XDRDWW,isbn:1590458028,goodreads:19409896,mobi-asin:B005XDRDWW"
"Elizabeth Struthers Malbon","The New Literary Criticism and the New Testament","","Bible, New Testament (NT), Theology","1994-10-01T18:00:00+11:00","Sheffield Academic Press","9781283195270","amazon:1283195275,isbn:9781283195270,goodreads:16975868"
"Michael S. Horton","Introducing Covenant Theology","","Bible, Theology","2006-03-01T19:00:00+11:00","Baker Books","9780801071959","goodreads:6525680,isbn:9780801071959,amazon:080107195X"
"Peder Borgen & Soren Giversen","The New Testament and Hellenistic Judaism","","Bible, Koine Greek, New Testament (NT), Old Testament (OT), Septuagint (LXX), Hellenism, Paul, Epistle","1997-02-01T19:00:00+11:00","Hendrickson Pub","9781565632615","google:GRgRAQAAIAAJ,amazon:1565632613,goodreads:2674137,isbn:9781565632615"
"Michael Knowles","Jeremiah in Matthew's Gospel  The Rejected Prophet Motif in Matthean Redaction","","Textual Criticism, Bible, New Testament (NT), Gospel of Matthew, Old Testament (OT), Jeremiah, Gospel","1993-03-01T11:00:00+11:00","Sheffield Academic Press","9781850753445","isbn:9781850753445,amazon:185075344X,goodreads:11444892"
"Lori L. Rowlett","Joshua and the Rhetoric of Violence  A New Historicist Analysis","","Theology, Bible","1993-01-01T19:00:00+11:00","Bloomsbury T&T Clark","9781850756279","isbn:9781850756279,amazon:1850756279,goodreads:2662173"
"Roger Norman Whybray","The Composition of the Book of Proverbs","","Theology, Bible","1994-02-01T19:00:00+11:00","Bloomsbury T&T Clark","9781441155993","isbn:9781441155993,goodreads:6827772,amazon:1441155996"
"Thomas Dozeman & Craig A. Evans & Joel N. Lohr","The Book of Exodus: Composition, Reception, and Interpretation","","Theology, Bible, Reception History, New Testament (NT), Old Testament (OT)","2014-07-15T14:01:18+11:00","BRILL","9789004282650","isbn:9789004282650,goodreads:22959881,amazon:9004282653,google:n3_ooQEACAAJ"
"Simon Parker","Stories in Scripture and Inscriptions: Comparative Studies on Narratives in Northwest Semitic Inscriptions and the Hebrew Bible","","Ancient Near East, ANE, Bible, Old Testament (OT), Archaeology, Ancient History","1997-01-01T19:00:00+11:00","Oxford University Press","9780195116205","amazon:0195116208,google:v8nnCwAAQBAJ,isbn:9780195116205,goodreads:2783579"
"William Lane Craig","The Blackwell Companion to Natural Theology","","Theology, Bible, Companion","1991-01-30T19:00:00+11:00","Wiley-Blackwell","9781405176576","goodreads:3084002,amazon:1405176571,isbn:9781405176576"
"Scott W. Hahn","Romans","","Bible, New Testament (NT), New Testament commentary, Romans, Paul, Epsitle","2017-08-31T01:00:00+11:00","Baker Publishing Group","9781493411368","isbn:9781493411368"
"Douglas J. Moo","The Epistle to the Romans","The New International Commentary on the New Testament","Bible, New Testament (NT), New Testament commentary, Romans, Paul, Epsitle","1996-09-30T18:00:00+11:00","Eerdmans","9780802823175","isbn:9780802823175,amazon:0802823173,goodreads:72105"
"George Klein","The New American Commentary, Volume 21B: Zechariah","","Old Testament (OT), Bible","2014-05-27T18:00:00+11:00","Holman Reference","","mobi-asin:B004OR18D8,goodreads:21360992,amazon:B004OR18D8"
"Edward F. Campbell Jr.","Ruth","","Old Testament (OT), Bible","2003-05-06T18:00:00+11:00","Yale University Press","9780300139464","amazon:0300139462,isbn:9780300139464,google:yQVaAAAAYAAJ,goodreads:4559210"
"Ellen F. Davis","Proverbs, Ecclesiastes, and the Song of Songs","","Old Testament (OT), Bible","2000-01-01T14:16:59+11:00","Westminster John Knox Press","9780664255220","uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub,isbn:9780664255220,goodreads:863614,google:tMZQOcR_j4wC,amazon:0664255221"
"Tremper Longman Iii","Old Testament Commentary Survey","","Bible, Old Testament (OT), Theology","1991-12-31T19:00:00+11:00","Baker Academic","9780801039911","goodreads:15863584,google:-MEqMAEACAAJ,isbn:9780801039911,amazon:0801039916"
"Katharine Doob Sakenfeld","Ruth","","Old Testament (OT), Bible","1999-10-01T14:07:38+11:00","John Knox Press","9780804231497","google:nTPVnQEACAAJ,amazon:0804231494,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub,isbn:9780804231497,goodreads:798226"
"David J. A. Clines","Job 38-42","","Old Testament (OT), Bible","1982-06-15T14:55:50+11:00","Thomas Nelson.","9780785252672","goodreads:12845136,isbn:9780785252672,google:AJRgwgEACAAJ,amazon:0785252673"
"David J. A. Clines","Job 1-20","Word Biblical Commentary","Old Testament (OT), Bible, Theology, Old Testament Commentary","1989-06-15T14:54:27+11:00","Word Books","9780849902161","isbn:9780849902161,goodreads:19793931,google:-7hqAQAACAAJ"
"Baruch A. Levine","Numbers 1-20","","Old Testament (OT), Bible","1993-01-01T19:00:00+11:00","Doubleday","9780385156516","goodreads:1553595,isbn:9780385156516,google:EBIXAAAAIAAJ,amazon:0385156510"
"Jacob Milgrom","The JPS Torah Commentary: Numbers","","Old Testament (OT), Bible","1989-06-15T15:08:15+11:00","JEWISH PUBLICATON SOCIETY","9780827603295","isbn:9780827603295,amazon:0827603290,goodreads:865523,google:U0J5wgEACAAJ"
"Catherine Gunsalus González","Revelation","","Bible, New Testament (NT), New Testament commentary","1997-01-01T17:44:49+11:00","Westminster John Knox Press","9780664255879","google:J-NnXNrJD8EC,amazon:0664255876,isbn:9780664255879,goodreads:258976,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub"
